Client_ID,Name,Gender,Income
1,Client_1,Male,50000
2,Client_2,Male,-1
3,Client_3,Female,-1
4,Client_4,Female,80000
5,Client_5,Male,90000
6,Client_6,Undefined,90000
7,Client_7,Undefined,20000
8,Client_8,Female,90000
9,Client_9,Male,70000
10,Client_10,Male,50000
11,Client_11,Male,90000
12,Client_12,Male,50000
13,Client_13,Male,-1
14,Client_14,Male,40000
15,Client_15,Male,30000
16,Client_16,Female,10000
17,Client_17,Undefined,40000
18,Client_18,Male,60000
19,Client_19,Undefined,-1
20,Client_20,Male,-1
21,Client_21,Female,70000
22,Client_22,Undefined,80000
23,Client_23,Female,10000
24,Client_24,Male,30000
25,Client_25,Undefined,70000
26,Client_26,Undefined,80000
27,Client_27,Undefined,100000
28,Client_28,Female,20000
29,Client_29,Female,70000
30,Client_30,Female,70000
31,Client_31,Male,70000
32,Client_32,Male,90000
33,Client_33,Male,70000
34,Client_34,Female,10000
35,Client_35,Male,90000
36,Client_36,Female,40000
37,Client_37,Undefined,80000
38,Client_38,Male,100000
39,Client_39,Female,50000
40,Client_40,Female,100000
41,Client_41,Undefined,60000
42,Client_42,Undefined,-1
43,Client_43,Female,-1
44,Client_44,Male,10000
45,Client_45,Female,30000
46,Client_46,Male,20000
47,Client_47,Undefined,80000
48,Client_48,Undefined,70000
49,Client_49,Undefined,50000
50,Client_50,Female,50000
51,Client_51,Male,20000
52,Client_52,Male,30000
53,Client_53,Male,20000
54,Client_54,Female,30000
55,Client_55,Female,80000
56,Client_56,Undefined,50000
57,Client_57,Male,60000
58,Client_58,Undefined,50000
59,Client_59,Male,70000
60,Client_60,Undefined,10000
61,Client_61,Female,30000
62,Client_62,Undefined,80000
63,Client_63,Female,90000
64,Client_64,Female,30000
65,Client_65,Male,60000
66,Client_66,Female,30000
67,Client_67,Undefined,30000
68,Client_68,Male,20000
69,Client_69,Male,-1
70,Client_70,Female,60000
71,Client_71,Male,80000
72,Client_72,Undefined,60000
73,Client_73,Female,40000
